"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"data/automatons/randaut.hoa:2761.1-2863.7",,2,29,65,65,0,1,9,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,8.4539,2,156,543,624,2,3,0,0,0
"data/automatons/randaut.hoa:2761.1-2863.7",,2,29,65,65,0,1,9,1,0,"autfilt","ok",0,0.00593256,2,29,65,65,0,1,9,1,0
"data/automatons/randaut.hoa:2864.1-2984.7",,4,36,76,76,0,1,4,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,6.22218,4,41,126,656,2,3,0,0,0
"data/automatons/randaut.hoa:2864.1-2984.7",,4,36,76,76,0,1,4,1,0,"autfilt","ok",0,0.00613621,4,36,76,76,0,1,4,1,0
"data/automatons/randaut.hoa:2985.1-3028.7",,4,15,20,20,0,6,0,0,0,"cat %H | build/bin/nba2dpa >%O","ok",0,2.60676,4,20,45,320,2,11,0,0,0
"data/automatons/randaut.hoa:2985.1-3028.7",,4,15,20,20,0,6,0,0,0,"autfilt","ok",0,0.00595974,4,15,20,20,0,6,0,0,0
"data/automatons/randaut.hoa:3029.1-3048.7",,3,5,6,6,0,2,0,0,0,"cat %H | build/bin/nba2dpa >%O","ok",0,0.665333,3,7,14,56,2,4,0,0,0
"data/automatons/randaut.hoa:3029.1-3048.7",,3,5,6,6,0,2,0,0,0,"autfilt","ok",0,0.00677894,3,5,6,6,0,2,0,0,0
"data/automatons/randaut.hoa:3049.1-3175.7",,2,36,82,82,0,1,13,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,11.0673,2,200,740,800,2,3,0,0,0
"data/automatons/randaut.hoa:3049.1-3175.7",,2,36,82,82,0,1,13,1,0,"autfilt","ok",0,0.0043202,2,36,82,82,0,1,13,1,0
"data/automatons/randaut.hoa:3176.1-3203.7",,2,9,10,10,0,2,0,0,0,"cat %H | build/bin/nba2dpa >%O","ok",0,0.561778,2,11,22,44,2,4,0,0,0
"data/automatons/randaut.hoa:3176.1-3203.7",,2,9,10,10,0,2,0,0,0,"autfilt","ok",0,0.00444513,2,9,10,10,0,2,0,0,0
