input.source,input.name,input.ap,input.states,input.edges,input.transitions,input.acc_sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,tool,exit_status,exit_code,time,output.ap,output.states,output.edges,output.transitions,output.acc_sets,output.scc,output.nondetstates,output.nondeterministic,output.alternating,,,
data/automatons/randaut.hoa:4155.1-4242.7,,3,24,55,55,0,1,6,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,3.10057,3,34,122,272,2,3,0,0,0,62.4009943249,,10479.6169
data/automatons/randaut.hoa:4243.1-4330.7,,2,24,55,55,0,1,8,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,4.90461,2,73,255,292,2,3,0,0,0,37.1537792521,,4015.7569
data/automatons/randaut.hoa:4331.1-4354.7,,2,6,9,9,0,2,1,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,1.20814,2,12,28,48,2,5,0,0,0,95.8805222596,,15467.8969
data/automatons/randaut.hoa:4355.1-4388.7,,1,10,15,15,0,1,3,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,1.8681,1,31,61,62,2,3,0,0,0,83.39159761,,11102.8369
data/automatons/randaut.hoa:4389.1-4406.7,,1,4,5,5,0,1,1,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,0.93641,1,6,11,12,2,3,0,0,0,101.2758436881,,16996.3369
data/automatons/randaut.hoa:4407.1-4472.7,,2,19,38,38,0,1,6,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,2.06651,2,31,101,124,2,3,0,0,0,79.8072435801,,11102.8369
data/automatons/randaut.hoa:4473.1-4491.7,,1,4,6,6,0,2,1,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,0.954476,1,8,15,16,2,4,0,0,0,100.9125524346,,16478.8569
data/automatons/randaut.hoa:4492.1-4521.7,,1,9,12,12,0,1,1,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,1.10369,1,10,19,20,2,3,0,0,0,97.9369516161,,15969.3769
data/automatons/randaut.hoa:4522.1-4575.7,,1,15,30,2,0,1,5,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,4.63204,1,75,149,150,2,4,0,0,0,40.5509145616,,3766.2769
data/automatons/randaut.hoa:4576.1-4627.7,,2,12,31,31,0,1,5,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,3.69943,2,58,214,232,2,3,0,0,0,53.2983223249,,6141.8569
data/automatons/randaut.hoa:4628.1-4649.7,,2,5,8,2,0,3,0,0,0,cat %H | build/bin/nba2dpa >%O,ok,0,1.14075,2,8,19,32,2,6,0,0,0,97.2048105625,,16478.8569
data/automatons/randaut.hoa:4650.1-4740.7,,1,20,62,62,0,1,16,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,16.812,1,217,433,434,2,193,0,0,0,33.779344,,6501.1969
data/automatons/randaut.hoa:4741.1-4831.7,,2,20,62,62,0,1,11,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,32.8231,2,234,912,936,2,5,0,0,0,476.24769361,,9531.6169
data/automatons/randaut.hoa:4832.1-4905.7,,2,17,48,48,0,2,9,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,162.902,2,1289,5113,5156,2,34,0,0,0,23074.217604,,1328555.9169
data/automatons/randaut.hoa:4906.1-4929.7,,3,6,9,9,0,3,0,0,0,cat %H | build/bin/nba2dpa >%O,ok,0,0.96828,3,9,21,72,2,6,0,0,0,100.6354061584,,16223.1169
data/automatons/randaut.hoa:4930.1-4987.7,,1,13,36,36,0,1,9,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,5.28645,1,89,177,178,2,7,0,0,0,32.6446536025,,2243.9169
data/automatons/randaut.hoa:4988.1-4998.7,,3,1,1,1,0,1,0,0,0,cat %H | build/bin/nba2dpa >%O,ok,0,0.532037,3,3,5,24,2,3,0,0,0,109.5782493694,,17787.5569
data/automatons/randaut.hoa:4999.1-5031.7,,2,8,16,16,0,3,4,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,0.652417,2,12,31,48,2,6,0,0,0,107.0724739419,,15467.8969
data/automatons/randaut.hoa:5032.1-5098.7,,1,16,42,42,0,1,13,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,13.2675,1,150,299,300,2,3,0,0,0,5.14155625,,185.7769
,,,,,,,,,,,,,,10.9810892097,,136.3709677419,,,,,,,,28.4988099832,,329.8267010211
